category,darija,english,source
greetings,sbeh el 5ir,good morning,self
greetings,ahla cha7welek,hey how are you,self
greetings,wnk ya 5ouya, how are you brother,self
greetings,wnk lebes 3lik,hey how are you doing,self
greetings,sbeh el nour, good morning,self
greetings,salemou 3alaykom ,greetings to you,self
greetings,ti wnk lhob mechiya el denya, how are you my friend how is life,self
greetings,chenya a7welek, how are you,self
greetings,3aslema, hey,self
greetings,wnkom lebes,how are you doing is everything fine,self
farewells,salem,bye,self
farewells,bye bye 5ouya,goodbye brother,self
farewells,aya ciao,see you later,self
farewells,nchallah ma3rfa tayba, it was good knowing you,self
farewells,fi amen el leh, goodbye,self
farewells,nchallah nchoufouk 3ala 9rib,see you soon,self
farewells,ma3rfa tayba,it was nice meeting you,self
farewells,beslema,goodbye,self
farewells,rod belek 3ala ro7ek, be safe,self
farewells,chehiya tayba,bon apetit /goodbye,self
family,omi tayeb fil ftour,my mom is cooking lunch,self
family,3andi zouz khwet,i have two siblings,self
family,5ouya akber meni b 5 snin,my brother is 5 years older than me,self
family,baba akber men omi,my father is older than my mother,self
family,benti el s8ira 3morha 3amin,my youngest daughter is 3 years old,self
family,ena ou weld 3ami nafs el 3mor,my cousin and i are the same age,self
family,jadti 3andha barcha 7kayet,my grandmother has a lot of stories,self
family,3ami yoskon b3id 3lina,my uncle lives far from us,self
family,ommi ou baba mchew l soussa,my mom and dad went to soussa,self
family,o5ti  el s8ira ma3ndhech machekil,my little sister doesn't have problems,self
food_drinks,ommi 3mlet coseksi el youm,my mom made couscous today,self
food_drinks,nheb nakil kasekrout bel hrisa,i like to eat a sandwitch with hrissa,self
food_drinks,n7eb nochrob 9ahwa,i want to drink coffee,self
food_drinks,el merguez fi tounes aban 7aja,the merguez in tunisia is the best,self
food_drinks,a3tini kes me bared,give me a glass of cold water,self
food_drinks,el 5obz m3a zit ou za3tar bnin barcha,bread with olive oil and thyme is really tasty,self
food_drinks,mchina klina makloub fel lil,we went to eat a sandwich at night,self
food_drinks,famma 7alwa bnina 3and el 7amas ,there is a delicious sweet in the shop,self
food_drinks,baba ye7eb yechreb el 7lib fi sbe7,my dad likes to drink milk in the morning,self
food_drinks,el lablabi men achher el meklet el tounseya,lablabi is one of the most famous tunisian dishes,self
shopping_money,9adeh soumha,how much does this cost,self
shopping_money,ghalia barcha manajamch nechriha,it's too expensive i can't buy it,self
shopping_money,3andi flous ama mayekfiwech,i have money but it's not enough,self
shopping_money,mchit lel marchi bech nechri 5odhra,i went to the market to buy vegetables,self
shopping_money,ta3mali soum bech najem nechri,give me a discount so i can buy it,self
shopping_money,el boutique fih 7weyej r5as,the shop has cheap things,self
shopping_money,nechri el lebsa men el medina,i buy clothes from the medina,self
shopping_money,ma3ndiech flous fi maktoubi,i don't have money in my pocket,self
shopping_money,baba 3tani flous lel kre,dad gave me money for the rent,self
shopping_money,el 7anut sakker bekri elyoum,the shop closed early today,self
time_directions,emchi tout el 9odem mba3d dour 3al ymin,go straight then turn left,self
time_directions,el rendez-vous fi sbe7 el youm,the appointment is this morning,self
time_directions,win nal9a m7atet el kiran men houni,where is the bus station from here,self
time_directions,je el wa9t bech nemchiw,it is time for us to go,self
time_directions,dour 3al ymin ou awil dar to3rdhek ,turn right and the first house you encounter,self
time_directions,beb el mdina b3id mena,the medina gate is far from here,self
time_directions,3andna rendez-vous ba3d noss sa3a,we have an appointment in half an hour,self
time_directions,el youm el jom3a w 8odwa el sebt,today is friday and tomorrow is saturday,self
time_directions,mchit 8adi w rja3t bekri,i went there and came back early,self
time_directions,el superette 3al isar oura el 7it el ahmar,the superette is on the left behind the red wall,self
emotions_feelings,ena far7an barcha el youm,i am very happy today,self
emotions_feelings,7asit enou ma3ndich 9ima,i felt like i have no value,self
emotions_feelings,manajamtech nched dmou3i w bkit,i couldn't hold it and i cried,self
emotions_feelings,galbi t7atem fi joretha,my heart is broken because of her,self
emotions_feelings,7asit ro7i far7an ou merte7,i felt happy and relieved,self
emotions_feelings,ena te3ib ou manich lebes,i am tired and not feeling well,self
emotions_feelings,5ouya a7sen haja fi 7yeti,my brother is the best thing in my life,self
emotions_feelings,7asit ro7i b3id 3al 3bed,i felt distant from people,self
emotions_feelings,7abit nebki ama dmou3i ma5arjouch,i wanted to cry but my tears didn't come,self
emotions_feelings,rani mouch merta7 m3a ro7i,i am not at peace with myself,self
compliments_insults,inti bnina barcha w dhkeya,you are very sweet and smart,self
compliments_insults,hedha we7id mnyk ma ya3rfech yekhdem,this guy is useless and doesn't know how to work,self
compliments_insults,3andek 9aleb kbir,you have a big and kind heart,self
compliments_insults,rak bhim ma tefhem 7ata chay,you are an idiot you don't understand anything,self
compliments_insults,sahebti 3a9la w metrobya w 9albha safi,my friend is smart kind and has a pure heart,self
compliments_insults,chkoun hedha el 9a7ba eli 3amla haka,who is this bitch who did this,self
compliments_insults,rak behi fi kolchay,you are very good at everything,self
compliments_insults,rajel hedha mouch metrobi,this guy has no manners,self
compliments_insults,3andek zin w charisma,you have charm and charisma,self
compliments_insults,saker fomek rak tdhaya3li fi wa9ti,shut up you are wasting my time,self
school_studying,3andi devoir 8odwa ou ma9rit chay,i have a test tomorrow and i haven't studied anything,self
school_studying,el prof fasser el dar bel behi,the teacher explained the lesson well,self
school_studying,saba7t nraja3 bech nenja7,i stayed up at night revising to pass,self
school_studying,el bac 9rib w ena 5ayef barcha,the bac is near and i am very scared,self
school_studying,sahbi yji ya9ra m3aya,my friend comes to study with me,self
